0.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.000000000e-02 -3.630076274e-10  0.000000000e+00 -8.031889043e-11
2.000000000e-02 -2.899703547e-09  0.000000000e+00 -6.415871723e-10
3.000000000e-02 -9.771805083e-09  0.000000000e+00 -2.162104967e-09
4.000000000e-02 -2.312799423e-08  0.000000000e+00 -5.117286678e-09
5.000000000e-02 -4.510394408e-08  0.000000000e+00 -9.979665455e-09
6.000000000e-02 -7.782234537e-08  0.000000000e+00 -1.721889639e-08
7.000000000e-02 -1.233929331e-07  0.000000000e+00 -2.730175955e-08
8.000000000e-02 -1.839125134e-07  0.000000000e+00 -4.069216231e-08
9.000000000e-02 -2.614649899e-07  0.000000000e+00 -5.785114118e-08
1.000000000e-01 -3.581213912e-07  0.000000000e+00 -7.923686299e-08
1.100000000e-01 -4.759398975e-07  0.000000000e+00 -1.053046254e-07
1.200000000e-01 -6.169658679e-07  0.000000000e+00 -1.365068570e-07
1.300000000e-01 -7.832318674e-07  0.000000000e+00 -1.732931170e-07
1.400000000e-01 -9.767576940e-07  0.000000000e+00 -2.161100940e-07
1.500000000e-01 -1.199550406e-06  0.000000000e+00 -2.654016048e-07
1.600000000e-01 -1.453604352e-06  0.000000000e+00 -3.216085923e-07
1.700000000e-01 -1.740901191e-06  0.000000000e+00 -3.851691229e-07
1.800000000e-01 -2.063409930e-06  0.000000000e+00 -4.565183838e-07
1.900000000e-01 -2.423086945e-06  0.000000000e+00 -5.360886794e-07
2.000000000e-01 -2.821876008e-06  0.000000000e+00 -6.243094278e-07
2.100000000e-01 -3.261708321e-06  0.000000000e+00 -7.216071559e-07
2.200000000e-01 -3.744502536e-06  0.000000000e+00 -8.284054955e-07
2.300000000e-01 -4.272164790e-06  0.000000000e+00 -9.451251776e-07
2.400000000e-01 -4.846588728e-06  0.000000000e+00 -1.072184027e-06
2.500000000e-01 -5.469655533e-06  0.000000000e+00 -1.209996957e-06
2.600000000e-01 -6.143233955e-06  0.000000000e+00 -1.358975962e-06
2.700000000e-01 -6.869180335e-06  0.000000000e+00 -1.519530111e-06
2.800000000e-01 -7.649338641e-06  0.000000000e+00 -1.692065543e-06
2.900000000e-01 -8.485540486e-06  0.000000000e+00 -1.876985457e-06
3.000000000e-01 -9.379605166e-06  0.000000000e+00 -2.074690103e-06
3.100000000e-01 -1.033333968e-05  0.000000000e+00 -2.285576779e-06
3.200000000e-01 -1.134853877e-05  0.000000000e+00 -2.510039819e-06
3.300000000e-01 -1.242698494e-05  0.000000000e+00 -2.748470584e-06
3.400000000e-01 -1.357044847e-05  0.000000000e+00 -3.001257455e-06
3.500000000e-01 -1.478068748e-05  0.000000000e+00 -3.268785823e-06
3.600000000e-01 -1.605944794e-05  0.000000000e+00 -3.551438081e-06
3.700000000e-01 -1.740846369e-05  0.000000000e+00 -3.849593611e-06
3.800000000e-01 -1.882945647e-05  0.000000000e+00 -4.163628777e-06
3.900000000e-01 -2.032413597e-05  0.000000000e+00 -4.493916914e-06
4.000000000e-01 -2.189419984e-05  0.000000000e+00 -4.840828315e-06
4.100000000e-01 -2.354133372e-05  0.000000000e+00 -5.204730227e-06
4.200000000e-01 -2.526721128e-05  0.000000000e+00 -5.585986832e-06
4.300000000e-01 -2.707349422e-05  0.000000000e+00 -5.984959241e-06
4.400000000e-01 -2.896183234e-05  0.000000000e+00 -6.402005482e-06
4.500000000e-01 -3.093386355e-05  0.000000000e+00 -6.837480487e-06
