0.000000000e+00 -2.919544951e-12  3.762203766e-10 -9.364597377e-13
1.000000000e-02 -4.057058090e-12  4.556690955e-10 -1.157327064e-12
2.000000000e-02 -2.688318838e-12  5.272191246e-10 -2.370829927e-12
3.000000000e-02 -5.128779648e-12  6.033845322e-10 -3.354706905e-12
4.000000000e-02 -4.831020359e-12  6.766908115e-10 -3.153429403e-12
5.000000000e-02 -8.515027035e-12  7.515742210e-10 -3.902036015e-12
6.000000000e-02 -1.581918708e-11  8.252033193e-10 -3.851975996e-12
7.000000000e-02 -9.198884344e-12  8.939340251e-10 -4.493104663e-12
8.000000000e-02 -1.481768417e-11  9.635406891e-10 -4.497774476e-12
9.000000000e-02 -2.073173236e-11  1.028846712e-09 -4.379095401e-12
1.000000000e-01 -1.756256761e-11  1.094482163e-09 -4.595789141e-12
1.100000000e-01 -1.719191398e-11  1.159790383e-09 -5.628682112e-12
1.200000000e-01 -2.049278994e-11  1.226907080e-09 -5.600109890e-12
1.300000000e-01 -2.326425938e-11  1.286594164e-09 -5.848410658e-12
1.400000000e-01 -2.507180292e-11  1.348613090e-09 -5.479050612e-12
1.500000000e-01 -3.032459924e-11  1.410001230e-09 -6.362398281e-12
1.600000000e-01 -3.346291637e-11  1.467665053e-09 -5.880929850e-12
1.700000000e-01 -3.029680241e-11  1.524286139e-09 -5.269253518e-12
1.800000000e-01 -2.741803668e-11  1.581438410e-09 -7.052685776e-12
1.900000000e-01 -3.395390022e-11  1.636920580e-09 -5.615405514e-12
2.000000000e-01 -3.512662970e-11  1.690377761e-09 -6.516573994e-12
2.100000000e-01 -3.511128074e-11  1.743681951e-09 -6.717139122e-12
2.200000000e-01 -3.402112227e-11  1.798387776e-09 -7.527127563e-12
2.300000000e-01 -3.989030983e-11  1.848101897e-09 -6.679966869e-12
2.400000000e-01 -3.279811662e-11  1.898181495e-09 -9.225784614e-12
2.500000000e-01 -3.611369372e-11  1.945473334e-09 -8.535470951e-12
2.600000000e-01 -3.913228408e-11  1.993966028e-09 -8.024362506e-12
2.700000000e-01 -3.591355856e-11  2.041091214e-09 -1.011045184e-11
2.800000000e-01 -3.550508834e-11  2.091327773e-09 -6.294503941e-12
2.900000000e-01 -3.457882007e-11  2.135298386e-09 -6.435620355e-12
3.000000000e-01 -3.655688494e-11  2.179272729e-09 -7.040505365e-12
3.100000000e-01 -3.027027806e-11  2.216817713e-09 -1.382839773e-11
3.200000000e-01 -3.386207316e-11  2.259032091e-09 -1.284494512e-11
3.300000000e-01 -3.297287874e-11  2.299852104e-09 -1.297999222e-11
3.400000000e-01 -3.696764316e-11  2.340694576e-09 -1.342716255e-11
3.500000000e-01 -3.637742495e-11  2.379853263e-09 -1.353164668e-11
3.600000000e-01 -3.698985425e-11  2.420952041e-09 -1.358025478e-11
3.700000000e-01 -4.448554859e-11  2.456858509e-09 -1.247734555e-11
3.800000000e-01 -4.426702938e-11  2.494288655e-09 -1.262357400e-11
3.900000000e-01 -3.940857627e-11  2.529232603e-09 -1.600638434e-11
4.000000000e-01 -4.014805779e-11  2.566709378e-09 -1.593461363e-11
4.100000000e-01 -4.168627613e-11  2.602079743e-09 -1.401940444e-11
4.200000000e-01 -3.535762931e-11  2.633888588e-09 -1.500836287e-11
4.300000000e-01 -3.887939376e-11  2.667828314e-09 -1.579750468e-11
4.400000000e-01 -4.624947255e-11  2.699006750e-09 -1.468631258e-11
4.500000000e-01 -4.820091397e-11  2.731996454e-09 -1.640786080e-11
4.600000000e-01 -4.754332983e-11  2.764459309e-09 -1.424744638e-11
4.700000000e-01 -5.048026347e-11  2.791879458e-09 -1.481305847e-11
4.800000000e-01 -4.264120984e-11  2.824256957e-09 -1.911339128e-11
4.900000000e-01 -4.531346657e-11  2.851519576e-09 -1.826435034e-11
5.000000000e-01 -4.977451399e-11  2.878752384e-09 -1.763668542e-11
5.100000000e-01 -4.742562183e-11  2.907426802e-09 -1.636288211e-11
5.200000000e-01 -4.493259786e-11  2.935047053e-09 -1.918235929e-11
5.300000000e-01 -4.982757323e-11  2.961708847e-09 -1.748413865e-11
5.400000000e-01 -4.137734534e-11  2.988299776e-09 -2.101293502e-11
5.500000000e-01 -5.002374843e-11  3.011342469e-09 -1.783654313e-11
5.600000000e-01 -4.466738833e-11  3.037159610e-09 -2.067051072e-11
5.700000000e-01 -4.829683343e-11  3.062639975e-09 -2.009628486e-11
5.800000000e-01 -4.648857185e-11  3.083845067e-09 -2.301158127e-11
5.900000000e-01 -4.727724648e-11  3.109020602e-09 -1.956074646e-11
6.000000000e-01 -5.179012410e-11  3.129544596e-09 -1.807493678e-11
6.100000000e-01 -5.291822256e-11  3.150648359e-09 -2.122389919e-11
6.200000000e-01 -4.531885612e-11  3.171632709e-09 -2.308257053e-11
6.300000000e-01 -5.111236475e-11  3.191954260e-09 -2.206882886e-11
6.400000000e-01 -5.519358409e-11  3.214003386e-09 -2.023420970e-11
6.500000000e-01 -5.662218504e-11  3.234080166e-09 -1.879384140e-11
6.600000000e-01 -4.779915733e-11  3.252190927e-09 -2.366610367e-11
6.700000000e-01 -4.527208456e-11  3.271412057e-09 -2.490052775e-11
6.800000000e-01 -4.954118667e-11  3.289940839e-09 -2.263930678e-11
6.900000000e-01 -4.610399540e-11  3.308698187e-09 -2.531541694e-11
7.000000000e-01 -5.411345024e-11  3.322824194e-09 -2.230152863e-11
7.100000000e-01 -5.308140220e-11  3.339551530e-09 -2.283930806e-11
7.200000000e-01 -5.487374759e-11  3.357003165e-09 -2.211155525e-11
7.300000000e-01 -5.466306221e-11  3.372501889e-09 -2.030327367e-11
7.400000000e-01 -5.099981225e-11  3.390382007e-09 -2.642496386e-11
7.500000000e-01 -4.931842670e-11  3.404479090e-09 -2.646866692e-11
7.600000000e-01 -4.484126699e-11  3.420704146e-09 -3.006012559e-11
7.700000000e-01 -4.734508843e-11  3.436666310e-09 -2.605249222e-11
7.800000000e-01 -4.525541197e-11  3.449058158e-09 -3.009692939e-11
7.900000000e-01 -4.783730553e-11  3.463327591e-09 -2.621836712e-11
8.000000000e-01 -4.816882897e-11  3.475632697e-09 -2.855009754e-11
