0.000000000e+00 -2.008812012e-04  1.590092518e-01 -6.186688726e-13
1.000000000e-02 -2.009521457e-04  1.590087356e-01 -1.489572181e-12
2.000000000e-02 -2.010708458e-04  1.590081144e-01 -2.886677048e-12
3.000000000e-02 -2.012070608e-04  1.590073744e-01 -4.139152704e-12
4.000000000e-02 -2.013397774e-04  1.590064950e-01 -5.054490062e-12
5.000000000e-02 -2.014751826e-04  1.590054859e-01 -6.189440834e-12
6.000000000e-02 -2.016062582e-04  1.590043411e-01 -7.291651902e-12
7.000000000e-02 -2.017322778e-04  1.590030601e-01 -8.682211665e-12
8.000000000e-02 -2.018584486e-04  1.590016505e-01 -9.802000171e-12
9.000000000e-02 -2.019859090e-04  1.590001025e-01 -1.104303114e-11
1.000000000e-01 -2.021019569e-04  1.589984211e-01 -1.264337553e-11
1.100000000e-01 -2.022242702e-04  1.589966077e-01 -1.434359998e-11
1.200000000e-01 -2.023438247e-04  1.589946581e-01 -1.569983886e-11
1.300000000e-01 -2.024635424e-04  1.589925743e-01 -1.739197420e-11
1.400000000e-01 -2.025777388e-04  1.589903578e-01 -1.869766079e-11
1.500000000e-01 -2.026967586e-04  1.589880060e-01 -2.059730371e-11
1.600000000e-01 -2.028103473e-04  1.589855148e-01 -2.200858097e-11
1.700000000e-01 -2.029143286e-04  1.589828935e-01 -2.365334830e-11
1.800000000e-01 -2.030262510e-04  1.589801418e-01 -2.605251358e-11
1.900000000e-01 -2.031447646e-04  1.589772573e-01 -2.681818187e-11
2.000000000e-01 -2.032622213e-04  1.589742312e-01 -2.885934983e-11
2.100000000e-01 -2.033733187e-04  1.589710754e-01 -3.059367252e-11
2.200000000e-01 -2.034840876e-04  1.589677825e-01 -3.268903462e-11
2.300000000e-01 -2.035939357e-04  1.589643519e-01 -3.418319038e-11
2.400000000e-01 -2.036993512e-04  1.589607903e-01 -3.712340911e-11
2.500000000e-01 -2.038148576e-04  1.589570978e-01 -3.843866068e-11
2.600000000e-01 -2.039327934e-04  1.589532660e-01 -3.962451233e-11
2.700000000e-01 -2.040422274e-04  1.589493035e-01 -4.247356428e-11
2.800000000e-01 -2.041510669e-04  1.589452047e-01 -4.228052044e-11
2.900000000e-01 -2.042354607e-04  1.589409413e-01 -4.308550430e-11
3.000000000e-01 -2.043194932e-04  1.589365493e-01 -4.399478707e-11
3.100000000e-01 -2.044428176e-04  1.589320593e-01 -4.776591005e-11
3.200000000e-01 -2.045744248e-04  1.589274411e-01 -4.782157259e-11
3.300000000e-01 -2.047043410e-04  1.589226941e-01 -4.846677419e-11
3.400000000e-01 -2.048411392e-04  1.589178086e-01 -4.915100071e-11
3.500000000e-01 -2.049664853e-04  1.589127840e-01 -4.998354072e-11
3.600000000e-01 -2.051009065e-04  1.589076350e-01 -5.044201628e-11
3.700000000e-01 -2.052358026e-04  1.589023444e-01 -5.055581551e-11
3.800000000e-01 -2.053564799e-04  1.588969121e-01 -5.170574987e-11
3.900000000e-01 -2.054800612e-04  1.588913578e-01 -5.412318481e-11
4.000000000e-01 -2.056196456e-04  1.588856650e-01 -5.454829925e-11
4.100000000e-01 -2.057544903e-04  1.588798331e-01 -5.410403152e-11
4.200000000e-01 -2.058888349e-04  1.588738736e-01 -5.504826149e-11
4.300000000e-01 -2.060201442e-04  1.588677764e-01 -5.610954021e-11
4.400000000e-01 -2.061495606e-04  1.588615382e-01 -5.648614476e-11
4.500000000e-01 -2.062724424e-04  1.588551702e-01 -5.822610098e-11
4.600000000e-01 -2.064064200e-04  1.588486707e-01 -5.782461425e-11
4.700000000e-01 -2.065424401e-04  1.588420301e-01 -5.883274797e-11
4.800000000e-01 -2.066672922e-04  1.588352502e-01 -6.178850341e-11
4.900000000e-01 -2.067950519e-04  1.588283394e-01 -6.223760541e-11
5.000000000e-01 -2.069359271e-04  1.588212986e-01 -6.260473822e-11
5.100000000e-01 -2.070746967e-04  1.588141170e-01 -6.252364598e-11
5.200000000e-01 -2.072040321e-04  1.588068014e-01 -6.479417687e-11
5.300000000e-01 -2.073415350e-04  1.587993459e-01 -6.452407474e-11
5.400000000e-01 -2.074703099e-04  1.587917601e-01 -6.705607453e-11
5.500000000e-01 -2.076031851e-04  1.587840427e-01 -6.633991122e-11
5.600000000e-01 -2.077416871e-04  1.587761876e-01 -6.849183389e-11
5.700000000e-01 -2.078743443e-04  1.587681904e-01 -6.889355082e-11
5.800000000e-01 -2.080045203e-04  1.587600629e-01 -7.123186935e-11
5.900000000e-01 -2.081554653e-04  1.587518064e-01 -6.988524889e-11
6.000000000e-01 -2.082963646e-04  1.587434039e-01 -6.979696203e-11
6.100000000e-01 -2.084413504e-04  1.587348734e-01 -7.186534432e-11
6.200000000e-01 -2.085760360e-04  1.587261938e-01 -7.348843213e-11
6.300000000e-01 -2.087174818e-04  1.587173981e-01 -7.367574708e-11
6.400000000e-01 -2.088585742e-04  1.587084556e-01 -7.353759203e-11
6.500000000e-01 -2.090034726e-04  1.586993839e-01 -7.337736923e-11
6.600000000e-01 -2.091355596e-04  1.586901661e-01 -7.657514575e-11
6.700000000e-01 -2.092754023e-04  1.586808189e-01 -7.827523077e-11
6.800000000e-01 -2.094270406e-04  1.586713414e-01 -7.761649739e-11
6.900000000e-01 -2.095692629e-04  1.586617248e-01 -7.958172287e-11
7.000000000e-01 -2.097222599e-04  1.586519703e-01 -7.862953757e-11
7.100000000e-01 -2.098688828e-04  1.586420810e-01 -7.944329128e-11
7.200000000e-01 -2.100064823e-04  1.586320553e-01 -8.013872122e-11
7.300000000e-01 -2.101539910e-04  1.586218991e-01 -7.989448692e-11
7.400000000e-01 -2.103017480e-04  1.586116030e-01 -8.349419435e-11
7.500000000e-01 -2.104493577e-04  1.586011685e-01 -8.429097914e-11
7.600000000e-01 -2.106042372e-04  1.585906035e-01 -8.654690852e-11
7.700000000e-01 -2.107563820e-04  1.585798988e-01 -8.520876926e-11
7.800000000e-01 -2.109168752e-04  1.585690579e-01 -8.741113774e-11
7.900000000e-01 -2.110744182e-04  1.585580825e-01 -8.615614252e-11
8.000000000e-01 -2.112313532e-04  1.585469705e-01 -8.765190914e-11
8.100000000e-01 -2.113848477e-04  1.585357223e-01 -8.965361756e-11
8.200000000e-01 -2.115481290e-04  1.585243431e-01 -8.783394985e-11
8.300000000e-01 -2.117069693e-04  1.585128213e-01 -8.983972745e-11
8.400000000e-01 -2.118566547e-04  1.585011681e-01 -8.957788855e-11
8.500000000e-01 -2.120178490e-04  1.584893769e-01 -9.029730485e-11
8.600000000e-01 -2.121835403e-04  1.584774470e-01 -9.028834885e-11
8.700000000e-01 -2.123507992e-04  1.584653862e-01 -9.005223891e-11
8.800000000e-01 -2.125115957e-04  1.584531802e-01 -9.046357179e-11
8.900000000e-01 -2.126790809e-04  1.584408377e-01 -9.102454963e-11
9.000000000e-01 -2.128424131e-04  1.584283640e-01 -9.582711735e-11
9.100000000e-01 -2.130037783e-04  1.584157555e-01 -9.546172044e-11
9.200000000e-01 -2.131733124e-04  1.584030153e-01 -9.446715737e-11
9.300000000e-01 -2.133313677e-04  1.583901285e-01 -9.739570142e-11
9.400000000e-01 -2.134978861e-04  1.583771037e-01 -9.608137548e-11
9.500000000e-01 -2.136664857e-04  1.583639547e-01 -9.558804130e-11
9.600000000e-01 -2.138263266e-04  1.583506573e-01 -1.008477618e-10
9.700000000e-01 -2.140040484e-04  1.583372359e-01 -1.004639960e-10
9.800000000e-01 -2.141720118e-04  1.583236796e-01 -1.006107667e-10
9.900000000e-01 -2.143435183e-04  1.583099805e-01 -9.913861486e-11
1.000000000e+00 -2.145121887e-04  1.582961370e-01 -1.015763274e-10
1.010000000e+00 -2.146824064e-04  1.582821619e-01 -1.016878570e-10
1.020000000e+00 -2.148529670e-04  1.582680560e-01 -1.031358870e-10
1.030000000e+00 -2.150286243e-04  1.582538124e-01 -1.042994672e-10
1.040000000e+00 -2.152111867e-04  1.582394324e-01 -1.061272901e-10
1.050000000e+00 -2.153832798e-04  1.582249195e-01 -1.049353960e-10
1.060000000e+00 -2.155625854e-04  1.582102641e-01 -1.055972265e-10
1.070000000e+00 -2.157460666e-04  1.581954725e-01 -1.081166143e-10
1.080000000e+00 -2.159179335e-04  1.581805503e-01 -1.077055802e-10
1.090000000e+00 -2.160996512e-04  1.581654827e-01 -1.077881831e-10
1.100000000e+00 -2.162808789e-04  1.581502872e-01 -1.091101530e-10
1.110000000e+00 -2.164595995e-04  1.581349523e-01 -1.079402417e-10
1.120000000e+00 -2.166454786e-04  1.581194752e-01 -1.098717594e-10
1.130000000e+00 -2.168282905e-04  1.581038652e-01 -1.120924776e-10
1.140000000e+00 -2.170071352e-04  1.580881261e-01 -1.123816535e-10
1.150000000e+00 -2.171921090e-04  1.580722397e-01 -1.132243236e-10
1.160000000e+00 -2.173802851e-04  1.580562156e-01 -1.140024418e-10
1.170000000e+00 -2.175694060e-04  1.580400629e-01 -1.179176678e-10
1.180000000e+00 -2.177571047e-04  1.580237700e-01 -1.150120804e-10
1.190000000e+00 -2.179566984e-04  1.580073337e-01 -1.156749816e-10
1.200000000e+00 -2.181396689e-04  1.579907670e-01 -1.169024384e-10
1.210000000e+00 -2.183370628e-04  1.579740667e-01 -1.164710378e-10
1.220000000e+00 -2.185271313e-04  1.579572197e-01 -1.193060659e-10
1.230000000e+00 -2.187252066e-04  1.579402398e-01 -1.175492511e-10
1.240000000e+00 -2.189179261e-04  1.579231231e-01 -1.193214320e-10
1.250000000e+00 -2.191073387e-04  1.579058710e-01 -1.228710932e-10
1.260000000e+00 -2.193045593e-04  1.578884833e-01 -1.237171141e-10
1.270000000e+00 -2.195057619e-04  1.578709631e-01 -1.245846745e-10
1.280000000e+00 -2.197132217e-04  1.578533011e-01 -1.244420965e-10
1.290000000e+00 -2.199191816e-04  1.578355058e-01 -1.231395795e-10
1.300000000e+00 -2.201228078e-04  1.578175629e-01 -1.248372284e-10
1.310000000e+00 -2.203213700e-04  1.577994923e-01 -1.259541238e-10
1.320000000e+00 -2.205338972e-04  1.577812799e-01 -1.273818328e-10
1.330000000e+00 -2.207396857e-04  1.577629328e-01 -1.239175958e-10
1.340000000e+00 -2.209490139e-04  1.577444523e-01 -1.259874810e-10
1.350000000e+00 -2.211527981e-04  1.577258261e-01 -1.289800375e-10
1.360000000e+00 -2.213639508e-04  1.577070741e-01 -1.267921002e-10
1.370000000e+00 -2.215810182e-04  1.576881802e-01 -1.282115036e-10
1.380000000e+00 -2.217844412e-04  1.576691501e-01 -1.312115122e-10
1.390000000e+00 -2.220099917e-04  1.576499884e-01 -1.289238248e-10
1.400000000e+00 -2.222316396e-04  1.576306794e-01 -1.312861137e-10
1.410000000e+00 -2.224438842e-04  1.576112346e-01 -1.273868590e-10
1.420000000e+00 -2.226627987e-04  1.575916567e-01 -1.307933566e-10
1.430000000e+00 -2.228721737e-04  1.575719334e-01 -1.336621636e-10
1.440000000e+00 -2.230939730e-04  1.575520822e-01 -1.331051294e-10
1.450000000e+00 -2.233161642e-04  1.575320825e-01 -1.375501647e-10
1.460000000e+00 -2.235461075e-04  1.575119558e-01 -1.333086474e-10
1.470000000e+00 -2.237699626e-04  1.574916933e-01 -1.371756379e-10
1.480000000e+00 -2.239926436e-04  1.574712859e-01 -1.376101859e-10
1.490000000e+00 -2.242275485e-04  1.574507446e-01 -1.377177692e-10
1.500000000e+00 -2.244572831e-04  1.574300599e-01 -1.344476135e-10
1.510000000e+00 -2.246842729e-04  1.574092477e-01 -1.421656017e-10
1.520000000e+00 -2.249165778e-04  1.573882975e-01 -1.344197290e-10
1.530000000e+00 -2.251494499e-04  1.573672099e-01 -1.357026011e-10
1.540000000e+00 -2.253757676e-04  1.573459771e-01 -1.408782537e-10
1.550000000e+00 -2.256102984e-04  1.573246219e-01 -1.370361237e-10
1.560000000e+00 -2.258442362e-04  1.573031200e-01 -1.451881026e-10
1.570000000e+00 -2.260787659e-04  1.572814867e-01 -1.417220329e-10
1.580000000e+00 -2.263134429e-04  1.572597040e-01 -1.439043079e-10
1.590000000e+00 -2.265513997e-04  1.572377927e-01 -1.415469436e-10
1.600000000e+00 -2.267942577e-04  1.572157393e-01 -1.491346691e-10
1.610000000e+00 -2.270356665e-04  1.571935493e-01 -1.410289645e-10
1.620000000e+00 -2.272756076e-04  1.571712165e-01 -1.487212834e-10
1.630000000e+00 -2.275213313e-04  1.571487565e-01 -1.445563795e-10
1.640000000e+00 -2.277666571e-04  1.571261525e-01 -1.488376441e-10
1.650000000e+00 -2.280091225e-04  1.571034168e-01 -1.469513823e-10
1.660000000e+00 -2.282581866e-04  1.570805327e-01 -1.469582411e-10
1.670000000e+00 -2.285102766e-04  1.570575192e-01 -1.449129923e-10
1.680000000e+00 -2.287664684e-04  1.570343688e-01 -1.510239494e-10
1.690000000e+00 -2.290136892e-04  1.570110799e-01 -1.507313987e-10
1.700000000e+00 -2.292646266e-04  1.569876521e-01 -1.504260301e-10
1.710000000e+00 -2.295191162e-04  1.569640856e-01 -1.495164899e-10
1.720000000e+00 -2.297856007e-04  1.569403863e-01 -1.475478176e-10
1.730000000e+00 -2.300364423e-04  1.569165449e-01 -1.534422357e-10
1.740000000e+00 -2.302932059e-04  1.568925759e-01 -1.544343497e-10
1.750000000e+00 -2.305522679e-04  1.568684585e-01 -1.522618268e-10
1.760000000e+00 -2.308114646e-04  1.568442076e-01 -1.518821322e-10
1.770000000e+00 -2.310661551e-04  1.568198157e-01 -1.569672584e-10
1.780000000e+00 -2.313353663e-04  1.567952919e-01 -1.531354928e-10
1.790000000e+00 -2.315960928e-04  1.567706300e-01 -1.609809527e-10
1.800000000e+00 -2.318537742e-04  1.567458365e-01 -1.513498219e-10
1.810000000e+00 -2.321232961e-04  1.567208925e-01 -1.587738310e-10
1.820000000e+00 -2.323940801e-04  1.566958205e-01 -1.600839347e-10
1.830000000e+00 -2.326710907e-04  1.566706061e-01 -1.605220949e-10
1.840000000e+00 -2.329327831e-04  1.566452524e-01 -1.587468214e-10
1.850000000e+00 -2.332066872e-04  1.566197559e-01 -1.607638760e-10
1.860000000e+00 -2.334867396e-04  1.565941330e-01 -1.545737841e-10
1.870000000e+00 -2.337648232e-04  1.565683713e-01 -1.539843276e-10
1.880000000e+00 -2.340377298e-04  1.565424647e-01 -1.587148577e-10
1.890000000e+00 -2.343165139e-04  1.565164248e-01 -1.546559614e-10
1.900000000e+00 -2.345934573e-04  1.564902436e-01 -1.636137542e-10
1.910000000e+00 -2.348783908e-04  1.564639205e-01 -1.611431799e-10
1.920000000e+00 -2.351542969e-04  1.564374675e-01 -1.620799124e-10
1.930000000e+00 -2.354394970e-04  1.564108719e-01 -1.608900016e-10
1.940000000e+00 -2.357220186e-04  1.563841395e-01 -1.699086999e-10
1.950000000e+00 -2.360091201e-04  1.563572728e-01 -1.715103241e-10
1.960000000e+00 -2.362988838e-04  1.563302631e-01 -1.587423845e-10
1.970000000e+00 -2.365898858e-04  1.563031155e-01 -1.611895988e-10
1.980000000e+00 -2.368784885e-04  1.562758291e-01 -1.656016615e-10
1.990000000e+00 -2.371664145e-04  1.562484112e-01 -1.745418097e-10
2.000000000e+00 -2.374625102e-04  1.562208534e-01 -1.622428372e-10
2.010000000e+00 -2.377632327e-04  1.561931624e-01 -1.615753489e-10
2.020000000e+00 -2.380571647e-04  1.561653300e-01 -1.611140941e-10
2.030000000e+00 -2.383507970e-04  1.561373605e-01 -1.672476040e-10
2.040000000e+00 -2.386425337e-04  1.561092464e-01 -1.765298045e-10
2.050000000e+00 -2.389566376e-04  1.560810036e-01 -1.737600099e-10
2.060000000e+00 -2.392495157e-04  1.560526221e-01 -1.743367241e-10
2.070000000e+00 -2.395598531e-04  1.560240959e-01 -1.683844452e-10
2.080000000e+00 -2.398639925e-04  1.559954300e-01 -1.748864658e-10
2.090000000e+00 -2.401672095e-04  1.559666281e-01 -1.767338151e-10
2.100000000e+00 -2.404797470e-04  1.559376928e-01 -1.672688460e-10
2.110000000e+00 -2.407870338e-04  1.559086211e-01 -1.804186810e-10
2.120000000e+00 -2.410935938e-04  1.558794070e-01 -1.832902657e-10
2.130000000e+00 -2.414041387e-04  1.558500540e-01 -1.834006986e-10
2.140000000e+00 -2.417117666e-04  1.558205624e-01 -1.785438361e-10
2.150000000e+00 -2.420375842e-04  1.557909336e-01 -1.782906542e-10
2.160000000e+00 -2.423610279e-04  1.557611623e-01 -1.747108791e-10
2.170000000e+00 -2.426794733e-04  1.557312606e-01 -1.861702743e-10
2.180000000e+00 -2.429934036e-04  1.557012226e-01 -1.823592496e-10
2.190000000e+00 -2.433146867e-04  1.556710409e-01 -1.731012026e-10
2.200000000e+00 -2.436414048e-04  1.556407197e-01 -1.801817429e-10
2.210000000e+00 -2.439659554e-04  1.556102617e-01 -1.822458486e-10
2.220000000e+00 -2.442921458e-04  1.555796679e-01 -1.853036270e-10
2.230000000e+00 -2.446203422e-04  1.555489347e-01 -1.821459119e-10
